Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,36373
Base Time Seconds,1685118000
Base Time Fractional,.645358344
Base Time,05/26/2023 16:20:00.645358344
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Date,Time,Fractional Seconds,Channel,CH Label
1,-1.375788873379e-10,Amp DC,.00001,6.5,F,F,F,F,F,F,Front,F,Main,05/26/2023,16:20:00,.645358344,None,
2,-1.046378997526e-10,Amp DC,.00001,6.5,F,F,F,F,F,F,Front,F,Main,05/26/2023,16:20:00,.665533041,None,
3,-1.207999573319e-10,Amp DC,.00001,6.5,F,F,F,F,F,F,Front,F,Main,05/26/2023,16:20:00,.685693920,None,
4,-1.41033366234e-10,Amp DC,.00001,6.5,F,F,F,F,F,F,Front,F,Main,05/26/2023,16:20:00,.705841617,None,
5,-1.103131199171e-10,Amp DC,.00001,6.5,F,F,F,F,F,F,Front,F,Main,05/26/2023,16:20:00,.725991981,None,
6,-1.161117206275e-10,Amp DC,.00001,6.5,F,F,F,F,F,F,Front,F,Main,05/26/2023,16:20:00,.768080920,None,
7,-1.232674406531e-10,Amp DC,.00001,6.5,F,F,F,F,F,F,Front,F,Main,05/26/2023,16:20:00,.788225890,None,
8,-1.199363296067e-10,Amp DC,.00001,6.5,F,F,F,F,F,F,Front,F,Main,05/26/2023,16:20:00,.808358859,None,
9,-1.380723786372e-10,Amp DC,.00001,6.5,F,F,F,F,F,F,Front,F,Main,05/26/2023,16:20:00,.828512011,None,
10,-1.073521323203e-10,Amp DC,.00001,6.5,F,F,F,F,F,F,Front,F,Main,05/26/2023,16:20:00,.848667102,None,
11,-1.184558358083e-10,Amp DC,.00001,6.5,F,F,F,F,F,F,Front,F,Main,05/26/2023,16:20:00,.890756920,None,
12,-1.138909799299e-10,Amp DC,.00001,6.5,F,F,F,F,F,F,Front,F,Main,05/26/2023,16:20:00,.910906950,None,
13,-1.298062882627e-10,Amp DC,.00001,6.5,F,F,F,F,F,F,Front,F,Main,05/26/2023,16:20:00,.931057799,None,
14,-1.199363296067e-10,Amp DC,.00001,6.5,F,F,F,F,F,F,Front,F,Main,05/26/2023,16:20:00,.951210647,None,
15,-1.131507330307e-10,Amp DC,.00001,6.5,F,F,F,F,F,F,Front,F,Main,05/26/2023,16:20:00,.971359435,None,
16,-1.282024199811e-10,Amp DC,.00001,6.5,F,F,F,F,F,F,Front,F,Main,05/26/2023,16:20:01,.013447920,None,
17,-1.340010206915e-10,Amp DC,.00001,6.5,F,F,F,F,F,F,Front,F,Main,05/26/2023,16:20:01,.033602587,None,
18,-1.075988812867e-10,Amp DC,.00001,6.5,F,F,F,F,F,F,Front,F,Main,05/26/2023,16:20:01,.053753678,None,
19,-1.327672758595e-10,Amp DC,.00001,6.5,F,F,F,F,F,F,Front,F,Main,05/26/2023,16:20:01,.073900435,None,
20,-1.143844778627e-10,Amp DC,.00001,6.5,F,F,F,F,F,F,Front,F,Main,05/26/2023,16:20:01,.094056253,None,
21,-1.337542717251e-10,Amp DC,.00001,6.5,F,F,F,F,F,F,Front,F,Main,05/26/2023,16:20:01,.136145920,None,
22,-1.093261240515e-10,Amp DC,.00001,6.5,F,F,F,F,F,F,Front,F,Main,05/26/2023,16:20:01,.156300072,None,
23,-1.183324613251e-10,Amp DC,.00001,6.5,F,F,F,F,F,F,Front,F,Main,05/26/2023,16:20:01,.176556890,None,
24,-1.035275233411e-10,Amp DC,.00001,6.5,F,F,F,F,F,F,Front,F,Main,05/26/2023,16:20:01,.196709405,None,
25,-1.173454654595e-10,Amp DC,.00001,6.5,F,F,F,F,F,F,Front,F,Main,05/26/2023,16:20:01,.216862375,None,
26,-1.014301571267e-10,Amp DC,.00001,6.5,F,F,F,F,F,F,Front,F,Main,05/26/2023,16:20:01,.258951920,None,
27,-1.316569055107e-10,Amp DC,.00001,6.5,F,F,F,F,F,F,Front,F,Main,05/26/2023,16:20:01,.279109769,None,
28,-1.146312268291e-10,Amp DC,.00001,6.5,F,F,F,F,F,F,Front,F,Main,05/26/2023,16:20:01,.299265344,None,
29,-9.513805848345e-11,Amp DC,.00001,6.5,F,F,F,F,F,F,Front,F,Main,05/26/2023,16:20:01,.319416526,None,
30,-1.093261240515e-10,Amp DC,.00001,6.5,F,F,F,F,F,F,Front,F,Main,05/26/2023,16:20:01,.339571041,None,
31,-1.288192923971e-10,Amp DC,.00001,6.5,F,F,F,F,F,F,Front,F,Main,05/26/2023,16:20:01,.381658920,None,
32,-1.030340254083e-10,Amp DC,.00001,6.5,F,F,F,F,F,F,Front,F,Main,05/26/2023,16:20:01,.401814163,None,
33,-1.340010206915e-10,Amp DC,.00001,6.5,F,F,F,F,F,F,Front,F,Main,05/26/2023,16:20:01,.421965496,None,
34,-9.809904608025e-11,Amp DC,.00001,6.5,F,F,F,F,F,F,Front,F,Main,05/26/2023,16:20:01,.442113920,None,
35,-9.526143296665e-11,Amp DC,.00001,6.5,F,F,F,F,F,F,Front,F,Main,05/26/2023,16:20:01,.462267072,None,
